* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 0 mm
* f(s)= 0 Hz
* R(e)= 0 Ohms
* Z(max)= 0 Ohms
* Q(ms)= 0
* Q(es)= 0
* Q(ts)= 0
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 3.985e+06 
* X(r)= -0.4653 
* K(i)= -109.5 
* X(i)= 0.4333 
*
*
Freq            Impedance       Phase
1.029    	6.604    	0.193    
1.059    	6.604    	0.193    
1.091    	6.604    	0.193    
1.122    	6.604    	0.193    
1.155    	6.604    	0.193    
1.189    	6.604    	0.193    
1.224    	6.604    	0.193    
1.260    	6.604    	0.193    
1.297    	6.604    	0.193    
1.335    	6.595    	0.197    
1.374    	6.595    	0.197    
1.414    	6.595    	0.197    
1.456    	6.595    	0.197    
1.498    	6.595    	0.197    
1.542    	6.595    	0.197    
1.587    	6.595    	0.197    
1.634    	6.595    	0.197    
1.682    	6.590    	0.209    
1.731    	6.590    	0.209    
1.782    	6.590    	0.209    
1.834    	6.590    	0.209    
1.888    	6.590    	0.209    
1.943    	6.590    	0.209    
2.000    	6.591    	0.218    
2.059    	6.591    	0.218    
2.119    	6.591    	0.218    
2.181    	6.591    	0.218    
2.245    	6.591    	0.218    
2.311    	6.591    	0.218    
2.378    	6.593    	0.214    
2.448    	6.593    	0.214    
2.520    	6.593    	0.214    
2.594    	6.593    	0.214    
2.670    	6.595    	0.209    
2.748    	6.595    	0.209    
2.828    	6.595    	0.209    
2.911    	6.595    	0.209    
2.997    	6.593    	0.204    
3.084    	6.593    	0.204    
3.175    	6.593    	0.204    
3.268    	6.593    	0.204    
3.364    	6.597    	0.220    
3.462    	6.597    	0.220    
3.564    	6.597    	0.220    
3.668    	6.591    	0.239    
3.775    	6.591    	0.239    
3.886    	6.591    	0.239    
4.000    	6.591    	0.245    
4.117    	6.591    	0.245    
4.238    	6.591    	0.245    
4.362    	6.584    	0.229    
4.490    	6.584    	0.229    
4.621    	6.584    	0.229    
4.757    	6.584    	0.205    
4.896    	6.584    	0.205    
5.040    	6.585    	0.186    
5.187    	6.585    	0.186    
5.339    	6.587    	0.169    
5.496    	6.587    	0.169    
5.657    	6.589    	0.159    
5.823    	6.589    	0.159    
5.993    	6.587    	0.166    
6.169    	6.587    	0.166    
6.350    	6.586    	0.179    
6.536    	6.586    	0.179    
6.727    	6.585    	0.190    
6.924    	6.585    	0.190    
7.127    	6.585    	0.203    
7.336    	6.585    	0.218    
7.551    	6.585    	0.218    
7.772    	6.586    	0.227    
8.000    	6.586    	0.229    
8.234    	6.586    	0.229    
8.476    	6.586    	0.233    
8.724    	6.586    	0.239    
8.980    	6.586    	0.239    
9.243    	6.586    	0.239    
9.514    	6.587    	0.232    
9.792    	6.588    	0.222    
10.079    	6.588    	0.213    
10.375    	6.588    	0.211    
10.679    	6.588    	0.219    
10.992    	6.588    	0.231    
11.314    	6.588    	0.239    
11.645    	6.589    	0.238    
11.986    	6.589    	0.231    
12.338    	6.590    	0.223    
12.699    	6.592    	0.223    
13.071    	6.593    	0.229    
13.454    	6.593    	0.236    
13.849    	6.594    	0.240    
14.254    	6.595    	0.245    
14.672    	6.595    	0.262    
15.102    	6.595    	0.286    
15.545    	6.595    	0.304    
16.000    	6.595    	0.330    
16.469    	6.595    	0.354    
16.951    	6.595    	0.381    
17.448    	6.594    	0.400    
17.959    	6.594    	0.404    
18.486    	6.593    	0.409    
19.027    	6.593    	0.421    
19.585    	6.592    	0.440    
20.159    	6.592    	0.449    
20.749    	6.591    	0.462    
21.357    	6.591    	0.474    
21.983    	6.590    	0.481    
22.627    	6.590    	0.487    
23.290    	6.591    	0.502    
23.973    	6.591    	0.517    
24.675    	6.591    	0.533    
25.398    	6.590    	0.543    
26.143    	6.591    	0.545    
26.909    	6.591    	0.552    
27.697    	6.591    	0.577    
28.509    	6.590    	0.601    
29.344    	6.590    	0.635    
30.204    	6.590    	0.672    
31.089    	6.590    	0.685    
32.000    	6.592    	0.698    
32.938    	6.593    	0.709    
33.903    	6.594    	0.730    
34.896    	6.595    	0.768    
35.919    	6.595    	0.805    
36.971    	6.594    	0.838    
38.055    	6.593    	0.854    
39.170    	6.592    	0.858    
40.317    	6.592    	0.871    
41.499    	6.593    	0.893    
42.715    	6.593    	0.916    
43.967    	6.592    	0.951    
45.255    	6.591    	0.980    
46.581    	6.590    	1.026    
47.946    	6.593    	1.068    
49.351    	6.582    	1.040    
50.797    	6.583    	1.094    
52.285    	6.595    	1.167    
53.817    	6.597    	1.212    
55.394    	6.597    	1.264    
57.018    	6.597    	1.257    
58.688    	6.598    	1.262    
60.408    	6.598    	1.328    
62.178    	6.599    	1.361    
64.000    	6.599    	1.380    
65.875    	6.597    	1.425    
67.806    	6.598    	1.463    
69.792    	6.604    	1.524    
71.838    	6.603    	1.577    
73.943    	6.600    	1.627    
76.109    	6.601    	1.656    
78.339    	6.604    	1.724    
80.635    	6.605    	1.805    
82.998    	6.604    	1.849    
85.430    	6.606    	1.883    
87.933    	6.608    	1.971    
90.510    	6.609    	2.075    
93.162    	6.610    	2.095    
95.892    	6.612    	2.142    
98.701    	6.609    	2.219    
101.594    	6.610    	2.308    
104.571    	6.619    	2.392    
107.635    	6.623    	2.449    
110.789    	6.623    	2.516    
114.035    	6.633    	2.572    
117.377    	6.635    	2.644    
120.816    	6.638    	2.696    
124.356    	6.643    	2.741    
128.000    	6.645    	2.789    
131.751    	6.646    	2.834    
135.611    	6.645    	2.881    
139.585    	6.639    	2.941    
143.675    	6.635    	3.073    
147.885    	6.634    	3.157    
152.219    	6.635    	3.284    
156.679    	6.637    	3.429    
161.270    	6.634    	3.583    
165.995    	6.636    	3.721    
170.860    	6.639    	3.886    
175.866    	6.643    	4.062    
181.019    	6.647    	4.240    
186.324    	6.653    	4.416    
191.783    	6.660    	4.600    
197.403    	6.671    	4.828    
203.187    	6.686    	5.077    
209.141    	6.706    	5.330    
215.269    	6.734    	5.559    
221.577    	6.775    	5.737    
228.070    	6.825    	5.695    
234.753    	6.853    	5.328    
241.632    	6.818    	4.998    
248.712    	6.764    	5.101    
256.000    	6.727    	5.500    
263.501    	6.714    	6.035    
271.223    	6.720    	6.543    
279.170    	6.732    	7.086    
287.350    	6.754    	7.654    
295.770    	6.786    	8.308    
304.437    	6.843    	9.076    
313.358    	6.942    	9.874    
322.540    	7.128    	10.698    
331.991    	7.466    	10.146    
341.719    	7.536    	7.150    
351.732    	7.184    	6.066    
362.039    	6.972    	7.547    
372.647    	6.924    	9.473    
383.567    	6.976    	11.564    
394.806    	7.147    	13.826    
406.375    	7.493    	16.338    
418.282    	8.321    	18.401    
430.539    	9.777    	13.731    
443.155    	9.498    	1.806    
456.140    	7.946    	0.981    
469.506    	7.440    	7.315    
483.264    	7.800    	14.332    
497.424    	9.481    	19.755    
512.000    	12.703    	9.520    
527.003    	11.298    	-12.352    
542.445    	8.352    	-12.657    
558.340    	7.463    	-6.179    
574.701    	7.433    	1.286    
591.541    	9.233    	5.737    
608.874    	10.009    	-9.809    
626.715    	7.839    	-13.096    
645.080    	7.172    	-8.287    
663.982    	6.995    	-4.386    
683.438    	7.196    	-0.090    
703.464    	8.123    	-2.397    
724.077    	7.477    	-7.899    
745.294    	6.961    	-5.134    
767.133    	6.868    	-2.785    
789.612    	6.941    	-0.132    
812.749    	7.429    	-0.827    
836.565    	7.088    	-3.674    
861.078    	6.852    	-1.839    
886.309    	6.826    	-0.217    
912.280    	7.049    	1.202    
939.012    	7.093    	-1.100    
966.527    	6.839    	-0.349    
994.849    	6.815    	0.992    
1024.000    	6.971    	1.985    
1054.005    	6.977    	0.555    
1084.890    	6.817    	1.412    
1116.680    	6.832    	2.601    
1149.401    	6.975    	2.573    
1183.081    	6.865    	2.158    
1217.748    	6.833    	3.177    
1253.431    	6.933    	3.715    
1290.159    	6.900    	3.268    
1327.964    	6.857    	4.086    
1366.876    	6.941    	4.550    
1406.929    	6.916    	4.315    
1448.155    	6.897    	5.061    
1490.589    	6.969    	5.240    
1534.266    	6.934    	5.303    
1579.224    	6.968    	5.867    
1625.499    	6.981    	5.834    
1673.129    	6.956    	6.385    
1722.156    	7.004    	6.658    
1772.619    	6.993    	6.949    
1824.561    	7.037    	7.395    
1878.024    	7.049    	7.569    
1933.055    	7.094    	8.026    
1989.697    	7.129    	8.078    
2048.000    	7.176    	8.393    
2108.011    	7.211    	8.275    
2169.780    	7.240    	8.300    
2233.360    	7.215    	8.121    
2298.802    	7.214    	8.235    
2366.162    	7.174    	8.560    
2435.496    	7.171    	8.796    
2506.862    	7.174    	9.277    
2580.318    	7.169    	9.650    
2655.927    	7.182    	10.015    
2733.752    	7.205    	10.465    
2813.857    	7.218    	10.869    
2896.309    	7.243    	11.276    
2981.178    	7.275    	11.635    
3068.533    	7.304    	12.001    
3158.448    	7.335    	12.373    
3250.997    	7.378    	12.674    
3346.259    	7.411    	12.930    
3444.312    	7.445    	13.252    
3545.238    	7.477    	13.471    
3649.121    	7.500    	13.741    
3756.049    	7.528    	14.030    
3866.109    	7.552    	14.304    
3979.395    	7.572    	14.637    
4096.000    	7.596    	14.997    
4216.022    	7.616    	15.395    
4339.561    	7.648    	15.831    
4466.720    	7.689    	16.263    
4597.605    	7.736    	16.697    
4732.325    	7.790    	17.096    
