* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 0 mm
* f(s)= 0 Hz
* R(e)= 0 Ohms
* Z(max)= 0 Ohms
* Q(ms)= 0
* Q(es)= 0
* Q(ts)= 0
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 3.985e+06 
* X(r)= -0.4653 
* K(i)= -109.5 
* X(i)= 0.4333 
*
*
Freq            Impedance       Phase
1.029    	6.606    	0.263    
1.059    	6.606    	0.263    
1.091    	6.606    	0.263    
1.122    	6.606    	0.263    
1.155    	6.606    	0.263    
1.189    	6.606    	0.263    
1.224    	6.606    	0.263    
1.260    	6.606    	0.263    
1.297    	6.606    	0.263    
1.335    	6.598    	0.259    
1.374    	6.598    	0.259    
1.414    	6.598    	0.259    
1.456    	6.598    	0.259    
1.498    	6.598    	0.259    
1.542    	6.598    	0.259    
1.587    	6.598    	0.259    
1.634    	6.598    	0.259    
1.682    	6.593    	0.259    
1.731    	6.593    	0.259    
1.782    	6.593    	0.259    
1.834    	6.593    	0.259    
1.888    	6.593    	0.259    
1.943    	6.593    	0.259    
2.000    	6.593    	0.254    
2.059    	6.593    	0.254    
2.119    	6.593    	0.254    
2.181    	6.593    	0.254    
2.245    	6.593    	0.254    
2.311    	6.593    	0.254    
2.378    	6.595    	0.237    
2.448    	6.595    	0.237    
2.520    	6.595    	0.237    
2.594    	6.595    	0.237    
2.670    	6.597    	0.210    
2.748    	6.597    	0.210    
2.828    	6.597    	0.210    
2.911    	6.597    	0.210    
2.997    	6.596    	0.185    
3.084    	6.596    	0.185    
3.175    	6.596    	0.185    
3.268    	6.596    	0.185    
3.364    	6.600    	0.190    
3.462    	6.600    	0.190    
3.564    	6.600    	0.190    
3.668    	6.594    	0.214    
3.775    	6.594    	0.214    
3.886    	6.594    	0.214    
4.000    	6.594    	0.232    
4.117    	6.594    	0.232    
4.238    	6.594    	0.232    
4.362    	6.586    	0.228    
4.490    	6.586    	0.228    
4.621    	6.586    	0.228    
4.757    	6.584    	0.218    
4.896    	6.584    	0.218    
5.040    	6.585    	0.213    
5.187    	6.585    	0.213    
5.339    	6.588    	0.204    
5.496    	6.588    	0.204    
5.657    	6.589    	0.197    
5.823    	6.589    	0.197    
5.993    	6.588    	0.202    
6.169    	6.588    	0.202    
6.350    	6.587    	0.214    
6.536    	6.587    	0.214    
6.727    	6.588    	0.221    
6.924    	6.588    	0.221    
7.127    	6.589    	0.223    
7.336    	6.590    	0.226    
7.551    	6.590    	0.226    
7.772    	6.590    	0.230    
8.000    	6.591    	0.231    
8.234    	6.591    	0.231    
8.476    	6.590    	0.234    
8.724    	6.589    	0.236    
8.980    	6.589    	0.233    
9.243    	6.589    	0.233    
9.514    	6.590    	0.222    
9.792    	6.590    	0.208    
10.079    	6.590    	0.191    
10.375    	6.591    	0.180    
10.679    	6.590    	0.181    
10.992    	6.590    	0.190    
11.314    	6.591    	0.201    
11.645    	6.591    	0.210    
11.986    	6.592    	0.216    
12.338    	6.592    	0.222    
12.699    	6.593    	0.233    
13.071    	6.593    	0.249    
13.454    	6.594    	0.264    
13.849    	6.595    	0.272    
14.254    	6.596    	0.274    
14.672    	6.596    	0.277    
15.102    	6.595    	0.291    
15.545    	6.595    	0.307    
16.000    	6.595    	0.330    
16.469    	6.595    	0.353    
16.951    	6.595    	0.381    
17.448    	6.595    	0.411    
17.959    	6.594    	0.432    
18.486    	6.593    	0.444    
19.027    	6.592    	0.456    
19.585    	6.590    	0.473    
20.159    	6.590    	0.476    
20.749    	6.589    	0.476    
21.357    	6.589    	0.470    
21.983    	6.589    	0.474    
22.627    	6.589    	0.487    
23.290    	6.589    	0.506    
23.973    	6.589    	0.523    
24.675    	6.590    	0.539    
25.398    	6.590    	0.543    
