* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 0 mm
* f(s)= 0 Hz
* R(e)= 0 Ohms
* Z(max)= 0 Ohms
* Q(ms)= 0
* Q(es)= 0
* Q(ts)= 0
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 0 
* X(r)= 0 
* K(i)= 0 
* X(i)= 0 
*
*
Freq            Impedance       Phase
1.029    	3.710    	1.352    
1.059    	3.710    	1.352    
1.091    	3.710    	1.352    
1.122    	3.710    	1.352    
1.155    	3.710    	1.352    
1.189    	3.710    	1.352    
1.224    	3.710    	1.352    
1.260    	3.710    	1.352    
1.297    	3.710    	1.352    
1.335    	3.705    	1.453    
1.374    	3.705    	1.453    
1.414    	3.705    	1.453    
1.456    	3.705    	1.453    
1.498    	3.705    	1.453    
1.542    	3.705    	1.453    
1.587    	3.705    	1.453    
1.634    	3.705    	1.453    
1.682    	3.702    	1.599    
1.731    	3.702    	1.599    
1.782    	3.702    	1.599    
1.834    	3.702    	1.599    
1.888    	3.702    	1.599    
1.943    	3.702    	1.599    
2.000    	3.696    	1.769    
2.059    	3.696    	1.769    
2.119    	3.696    	1.769    
2.181    	3.696    	1.769    
2.245    	3.696    	1.769    
2.311    	3.696    	1.769    
2.378    	3.693    	1.974    
2.448    	3.693    	1.974    
2.520    	3.693    	1.974    
2.594    	3.693    	1.974    
2.670    	3.691    	2.220    
2.748    	3.691    	2.220    
2.828    	3.691    	2.220    
2.911    	3.691    	2.220    
2.997    	3.683    	2.485    
3.084    	3.683    	2.485    
3.175    	3.683    	2.485    
3.268    	3.683    	2.485    
3.364    	3.685    	2.748    
3.462    	3.685    	2.748    
3.564    	3.685    	2.748    
3.668    	3.681    	3.010    
3.775    	3.681    	3.010    
3.886    	3.681    	3.010    
4.000    	3.680    	3.275    
4.117    	3.680    	3.275    
4.238    	3.680    	3.275    
4.362    	3.668    	3.518    
4.490    	3.668    	3.518    
4.621    	3.668    	3.518    
4.757    	3.668    	3.706    
4.896    	3.668    	3.706    
5.040    	3.688    	3.850    
5.187    	3.688    	3.850    
5.339    	3.724    	4.002    
5.496    	3.724    	4.002    
5.657    	3.760    	4.196    
5.823    	3.760    	4.196    
5.993    	3.777    	4.409    
6.169    	3.777    	4.409    
6.350    	3.772    	4.603    
6.536    	3.772    	4.603    
6.727    	3.756    	4.795    
6.924    	3.756    	4.795    
7.127    	3.742    	5.051    
7.336    	3.729    	5.406    
7.551    	3.729    	5.406    
7.772    	3.711    	5.818    
8.000    	3.701    	6.201    
8.234    	3.701    	6.201    
8.476    	3.704    	6.504    
8.724    	3.712    	6.752    
8.980    	3.718    	6.987    
9.243    	3.718    	6.987    
9.514    	3.725    	7.228    
9.792    	3.737    	7.470    
10.079    	3.757    	7.719    
10.375    	3.771    	7.981    
10.679    	3.763    	8.253    
10.992    	3.742    	8.524    
11.314    	3.734    	8.795    
11.645    	3.756    	9.069    
11.986    	3.789    	9.329    
12.338    	3.808    	9.559    
12.699    	3.810    	9.784    
13.071    	3.801    	10.046    
13.454    	3.790    	10.343    
13.849    	3.788    	10.633    
14.254    	3.808    	10.898    
14.672    	3.837    	11.293    
15.102    	3.824    	11.708    
15.545    	3.811    	11.984    
16.000    	3.823    	12.424    
16.469    	3.849    	12.875    
16.951    	3.859    	13.279    
17.448    	3.858    	13.658    
17.959    	3.870    	14.029    
18.486    	3.885    	14.400    
19.027    	3.897    	14.812    
19.585    	3.914    	15.398    
20.159    	3.919    	15.809    
20.749    	3.918    	16.222    
21.357    	3.940    	16.755    
21.983    	3.958    	17.186    
22.627    	3.987    	17.632    
23.290    	4.011    	18.095    
23.973    	4.020    	18.597    
24.675    	4.048    	19.132    
25.398    	4.056    	19.662    
26.143    	4.071    	20.242    
26.909    	4.094    	20.990    
27.697    	4.118    	21.762    
28.509    	4.144    	22.357    
29.344    	4.173    	23.127    
30.204    	4.208    	24.032    
31.089    	4.260    	24.769    
